anlam_id,ozellik_id
25840,19
25840,41
25841,19
25841,33
25842,32
25844,19
25845,22
25846,19
25847,23
25848,20
25849,20
25850,19
25851,19
25851,33
25855,19
25856,19
25856,33
25857,19
25859,30
25860,30
25865,30
25866,30
25868,30
25871,32
25875,32
25876,19
25877,22
25879,32
25880,19
25881,23
25882,32
25883,32
25884,20
25886,32
25887,32
25888,19
25889,20
25890,20
25892,19
25893,19
25893,63
25894,32
746329,32
25895,20
25896,19
25896,39
25898,20
25899,19
25899,33
25900,20
25901,32
25902,20
25902,58
25903,19
25904,19
25905,23
25906,19
25907,19
25910,46
25911,54
25912,39
25913,31
25914,19
25915,73
25916,23
25917,32
25918,19
25919,22
25920,19
25921,20
25922,58
25923,19
25923,58
25924,19
25926,19
25927,23
25928,20
25929,20
25930,19
25931,24
25932,20
25933,20
25934,20
25935,19
740001,46
25936,23
25937,19
25938,19
25939,19
25940,22
25941,19
25942,22
25943,19
25944,23
25945,19
25946,19
25947,39
25948,20
25949,32
25950,32
25951,19
25952,23
25953,19
25954,22
25955,19
25956,66
25958,19
25958,66
25959,19
25960,24
25961,23
25968,32
25975,82
25982,19
25982,48
25983,20
25985,32
25986,20
25989,19
25989,58
25990,19
25991,20
25991,33
25992,19
25993,22
25994,19
25995,23
25997,19
25998,23
25999,19
26000,23
26002,32
26003,23
26004,19
26005,22
26006,19
26007,32
26008,54
26009,19
26021,19
26021,46
26022,19
26022,46
26023,19
26023,46
26024,24
26025,32
26026,19
26027,19
26027,51
26028,19
26030,19
26030,33
26031,19
26032,22
26032,33
26033,19
26034,19
26035,19
26035,41
26040,19
26041,19
26041,41
26042,19
26044,19
26045,19
26046,19
26047,33
26048,33
26050,19
26051,19
26052,20
26052,32
26053,19
26054,22
26055,19
26056,23
26057,32
26058,20
26059,33
26060,20
26061,19
26063,32
26064,32
26065,40
26067,32
740008,32
26070,19
26071,19
26072,19
26073,19
26074,19
26074,67
26075,19
26076,19
26077,19
26078,19
26078,40
26079,19
26080,19
26081,19
26081,41
26082,19
26082,41
26083,19
26084,19
26085,20
26087,19
26088,53
26089,19
26090,19
26090,55
26091,20
26092,19
26094,55
26094,87
26095,20
26096,19
26097,20
26098,19
26099,23
26100,19
26101,22
26102,19
26103,20
26104,19
26111,24
26112,19
26114,19
26115,47
26116,19
26117,22
26118,19
26119,57
26120,57
26121,57
26122,47
26123,19
26124,19
26125,47
26126,23
26127,20
26128,19
26131,20
26132,19
26133,20
26135,19
26135,57
26136,19
26137,20
26139,19
26141,19
26142,22
26146,23
26146,32
26147,19
26148,19
26150,19
26151,20
26152,19
26153,19
26154,23
26157,20
26159,19
26162,19
26162,47
26163,19
26163,47
26164,19
26164,47
26165,20
26166,19
26166,47
26167,20
26167,56
26169,19
26170,22
26171,19
26171,57
26172,47
26173,19
26174,22
26175,20
26176,19
26177,19
26177,85
26178,19
26179,21
26179,22
26181,32
26182,19
26184,19
26185,21
26187,19
26188,19
26189,20
740019,57
740020,57
740021,85
26190,19
26191,32
26192,20
26192,57
26194,20
26194,57
26195,19
26195,57
26196,19
26196,44
26197,19
26197,44
26198,19
26200,19
26201,19
26201,45
26202,19
26204,20
26204,30
26208,19
26209,19
26210,22
26210,30
26213,20
26214,19
26215,19
26216,19
26217,30
26218,19
26220,32
26221,19
26222,19
26222,39
26223,19
26225,53
26226,19
26227,19
26228,22
26228,33
26229,19
26230,22
