yazar_id,ekno,kisa_adi,tam_adi
1,8,S. F. Abasıyanık,Sait Faik Abasıyanık
2,127,H. Taner,Haldun Taner
3,128,Atasözü,Atasözü
4,129,F. R. Atay,Falih Rıfkı Atay
5,130,Karacaoğlan,Karacaoğlan
6,131,E. B. Koryürek,Enis Behiç Koryürek
7,132,T. Buğra,Tarık Buğra
8,133,R. N. Güntekin,Reşat Nuri Güntekin
9,134,M. Yesari,Mahmut Yesari
10,135,M. Ş. Esendal,Memduh Şevket Esendal
11,137,Yunus Emre,Yunus Emre
12,138,F. N. Çamlıbel,Faruk Nafiz Çamlıbel
13,139,Y. Z. Ortaç,Yusuf Ziya Ortaç
14,141,H. E. Adıvar,Halide Edip Adıvar
15,142,R. H. Karay,Refik Halit Karay
16,143,N. H. Onan,Necmettin Halil Onan
17,144,P. Safa,Peyami Safa
18,145,A. Ş. Hisar,Abdülhak Şinasi Hisar
19,146,Z. O. Saba,Ziya Osman Saba
20,147,H. R. Gürpınar,Hüseyin Rahmi Gürpınar
21,149,O. Rifat,Oktay Rifat
22,151,M. C. Anday,Melih Cevdet Anday
23,152,Ömer Seyfettin,Ömer Seyfettin
24,153,Ziya Gökalp,Ziya Gökalp
25,155,T. Dursun K,Tarık Dursun K
26,156,T. Fikret,Tevfik Fikret
27,158,Atatürk,Atatürk
28,159,R. E. Ünaydın,Ruşen Eşref Ünaydın
29,160,Y. K. Karaosmanoğlu,Yakup Kadri Karaosmanoğlu 
30,161,Y. K. Beyatlı,Yahya Kemal Beyatlı
31,162,Anayasa,Anayasa
32,163,H. Z. Uşaklıgil,Halit Ziya Uşaklıgil
33,164,O. C. Kaygılı,Osman Cemal Kaygılı
34,165,A. İlhan,Attilâ İlhan
35,166,O. V. Kanık,Orhan Veli Kanık
36,167,C. S. Tarancı,Cahit Sıtkı Tarancı
37,168,Y. N. Nayır,Yaşar Nabi Nayır
38,169,Halk türküsü,Halk türküsü
39,170,Namık Kemal,Namık Kemal
40,171,O. Kemal,Orhan Kemal
41,172,M. C. Kuntay,Mithat Cemal Kuntay
42,173,N. Ataç,Nurullah Ataç
43,174,Ç. Altan,Çetin Altan
44,175,O. Hançerlioğlu,Orhan Hançerlioğlu
45,176,B. K. Çağlar,Behçet Kemal Çağlar
46,177,E. E. Talu,Ercüment Ekrem Talu
47,178,E. M. Karakurt,Esat Mahmut Karakurt
48,179,Ahmet Rasim,Ahmet Rasim
49,180,B. Felek,Burhan Felek
50,181,Süruri,Süruri
51,182,Ruhi,Ruhi
52,183,Halikarnas Balıkçısı,Halikarnas Balıkçısı
53,184,Gevheri,Gevheri
54,185,A. M. Dıranas,Ahmet Muhip Dıranas
55,186,N. Araz,Nezihe Araz
57,188,N. Cumalı,Necati Cumalı
58,190,B. Necatigil,Behçet Necatigil
59,191,S. M. Alus,Sermet Muhtar Alus
60,193,H. C. Yalçın,Hüseyin Cahit Yalçın
61,197,F. F. Tülbentçi,Feridun Fazıl Tülbentçi
62,199,A. Sayar,Abbas Sayar
63,201,Yavuz Sultan Selim,Yavuz Sultan Selim
64,202,A. K. Tecer,Ahmet Kutsi Tecer
65,203,Şeyh Galip,Şeyh Galip
66,204,Âşık Veysel,Âşık Veysel
67,205,Nabizade Nâzım,Nabizade Nâzım
68,206,C. Uçuk,Cahit Uçuk
69,207,F. Köprülü,Fuat Köprülü
70,208,O. S. Orhon,Orhan Seyfi Orhon
71,209,Evliya Çelebi,Evliya Çelebi
72,210,A. Haşim,Ahmet Haşim
73,211,Ahmet Midhat Efendi,Ahmet Midhat Efendi
74,212,T. Oflazoğlu,Turan Oflazoğlu
75,214,M. S. Sutüven,Mustafa Seyit Sutüven
76,215,A. Gündüz,Aka Gündüz
77,216,Baki,Baki
78,217,F. H. Dağlarca,Fazıl Hüsnü Dağlarca
79,218,M. E. Yurdakul,Mehmet Emin Yurdakul
80,219,S. Birsel,Salâh Birsel
81,220,Pir Sultan Abdal,Pir Sultan Abdal
82,221,E. İ. Benice,Etem İzzet Benice
83,223,A. H. Tanpınar,Ahmet Hamdi Tanpınar
84,224,N. S. Örik,Nahid Sırrı Örik
85,225,B. S. Erdoğan,Bekir Sıtkı Erdoğan
86,226,R. Erduran,Refik Erduran
88,228,Âşık Ömer,Âşık Ömer
89,229,H. S. Tanrıöver,Hamdullah Suphi Tanrıöver
90,231,A. N. Asya,Arif Nihat Asya
91,232,H. F. Ozansoy,Halit Fahri Ozansoy
92,233,Dede Korkut,Dede Korkut
93,234,Âşık Ruhsati,Âşık Ruhsati
94,235,Ö. B. Uşaklı,Ömer Bedrettin Uşaklı
95,236,R. Çalapala,Rakım Çalapala
96,237,S. Kocagöz,Samim Kocagöz
97,238,M. And,Metin And
98,240,Şarkı,Şarkı
99,242,R. T. Bölükbaşı,Rıza Tevfik Bölükbaşı
101,244,Enderunlu Vasıf,Enderunlu Vasıf
102,246,R. Ilgaz,Rıfat Ilgaz
104,249,Muallim Naci,Muallim Naci
105,250,Seyrani,Seyrani
106,251,N. Kurşunlu,Nazım Kurşunlu
107,252,Bahai,Bahai
108,254,S. Ayverdi,Sâmiha Ayverdi
109,255,Muhibbi,Muhibbi
111,257,Cem Sultan,Cem Sultan
112,258,Erzurumlu Emrah,Erzurumlu Emrah
113,260,F. İz,Fahir İz
114,261,Âşık Ali İzzet,Âşık Ali İzzet
115,262,Dadaloğlu,Dadaloğlu
116,263,Nefi,Nefi
117,265,Kul Mustafa,Kul Mustafa
118,267,Nedim,Nedim
119,268,Şemsettin Sami,Şemseddin Sami
120,270,M. N. Sepetçioğlu,Mustafa Necati Sepetçioğlu
121,272,E. C. Güney,Eflâtun Cem Güney
122,275,A. Kabaklı,Ahmet Kabaklı
124,277,K. Kamu,Kemalettin Kamu
126,281,K. Tahir,Kemal Tahir
127,282,Y. Kemal,Yaşar Kemal
128,283,N. Nadi,Nadir Nadi
129,284,S. Ertem,Sadri Ertem
130,285,M. A. Ersoy,Mehmet Akif Ersoy
131,286,Bayburtlu Zihni,Bayburtlu Zihni
132,287,T. S. Halman,Talât Sait Halman
133,290,Şinasi,Şinasi
134,292,Ş. Rado,Şevket Rado
135,293,N. F. Kısakürek,Necip Fazıl Kısakürek
136,294,S. Ali,Sabahattin Ali
137,297,N. Neyzi,Nezih Neyzi
138,300,K. H. Koray,Kenan Hulûsi Koray
139,301,C. Külebi,Cahit Külebi
140,304,Z. Selimoğlu,Zeyyat Selimoğlu
141,305,A. Kutlu,Ayla Kutlu
143,310,A. H. Tarhan,Abdülhak Hamit Tarhan
144,312,C. Meriç,Cemil Meriç
145,314,B. R. Eyüboğlu,Bedri Rahmi Eyüboğlu
146,315,C. Şehabettin,Cenap Şehabettin
147,316,S. Derviş,Suat Derviş
148,317,E. Bener,Erhan Bener
151,320,Y. Z. Bahadınlı,Yusuf Ziya Bahadınlı
153,324,Fahri Celâlettin,Fahri Celâlettin
154,328,Süleyman Çelebi,Süleyman Çelebi
155,331,İrfani,İrfani
156,334,O. Asena,Orhan Asena
157,336,Z. Ö. Defne,Zeki Ömer Defne
158,338,Marş,Marş
159,340,S. Eyüboğlu,Sabahattin Eyüboğlu
160,341,Dertli,Dertli
161,342,S. Ali,Sabahattin Ali
162,344,Anonim şiir,Anonim şiir
163,350,İ. H. Baltacıoğlu,İsmail Hakkı Baltacıoğlu
164,351,H. M. Ebcioğlu,Hikmet Münir Ebcioğlu
165,355,C. Bayar,Celal Bayar
166,357,M. Çınarlı,Mehmet Çınarlı
167,358,H. Â. Yücel,Hasan Âli Yücel
168,359,M. İzgü,Muzaffer İzgü
169,360,K. Bilbaşar,Kemal Bilbaşar
170,361,E. Işınsu,Emine Işınsu
171,362,İ. Sağır,İbrahim Sağır
173,367,Koca Ragıp Paşa,Koca Ragıp Paşa
174,369,S. Taşer,Suat Taşer
175,370,M. Kaplan,Mehmet Kaplan
177,375,H. N. Atsız,Hüseyin Nihal Atsız
178,381,Atai,Atai
179,382,Ziya Paşa,Ziya Paşa
180,385,S. Batu,Selâhattin Batu
181,386,Rasih,Rasih
182,387,A. H. Müftüoğlu,Ahmet Hikmet Müftüoğlu
183,388,F. Otyam,Fikret Otyam
184,390,H. Pulur,Hasan Pulur
185,391,Nâzım Hikmet,Nâzım Hikmet
186,401,O. Atay,Oğuz Atay
187,406,S. Dölek,Sulhi Dölek
188,407,N. Eray,Nazlı Eray
189,408,M. Seyda,Mehmet Seyda
190,409,M. Rona,Mustafa Rona
191,410,L. Tekin,Lâtife Tekin
192,411,S. Çokum,Sevinç Çokum
193,412,A. Ağaoğlu,Adalet Ağaoğlu
194,413,İ. Sarıer,İlker Sarıer
195,414,S. Soysal,Sevgi Soysal
196,415,A. Dino,Abidin Dino
197,422,B. Akyavaş,Beynun Akyavaş
198,423,İ. Özel,İsmet Özel
199,424,S. İleri,Selim İleri
200,425,A. H. Çelebi,Asaf Halet Çelebi
201,426,A. Erhat,Azra Erhat
202,427,M. Mungan,Murathan Mungan
203,428,A. Boysan,Aydın Boysan
204,429,N. Meriç,Nezihe Meriç
205,430,O. N. Akın,Osman Nihat Akın
206,431,T. Uyar,Tomris Uyar
207,432,T. Yücel,Tahsin Yücel
208,433,M. Uyguner,Muzaffer Uyguner
209,434,M. Buyrukçu,Muzaffer Buyrukçu
210,435,R. Akyavaş,Ragıp Akyavaş
211,436,B. Günel,Burhan Günel
212,437,A. Kulin,Ayşe Kulin
213,438,A. Ümit,Ahmet Ümit
214,439,L. Erbil,Leylâ Erbil
215,440,S. Hilav,Selâhattin Hilav
216,441,A. Cemal,Ahmet Cemal
217,442,A. N. Karacan,Ali Naci Karacan
218,443,N. Bezmen,Nermin Bezmen
219,445,İ. A. Gövsa,İbrahim Alâeddin Gövsa
220,446,S. Sema,Sadri Sema
221,448,Musahipzade Celâl,Musahipzade Celâl
222,449,E. Şafak,Elif Şafak
223,450,İ. O. Anar,İhsan Oktay Anar
224,452,N. Uygur,Nermi Uygur
225,454,H. Bayaz,Hüseyin Bayaz
226,455,R. Mağden,Reha Mağden
227,456,Y. Atılgan,Yusuf Atılgan
228,457,M. Kutlu,Mustafa Kutlu
229,458,A. Kilimci,Ayşe Kilimci
230,459,G. Sazak,Gürbüz Sazak
231,463,Fuzuli,Fuzuli
232,464,Peride Celal,Peride Celal
233,465,F. Erdinç,Fahri Erdinç
234,466,M. İlhan,Mustafa İlhan
236,468,S. Şengil,Salim Şengil
237,469,M. Başaran,Mehmet Başaran
238,470,Y. Koray,Yaman Koray
239,471,H. Aytekin,Halil Aytekin
240,472,H. Birand,Hikmet Birand
241,473,F. Baykurt,Fakir Baykurt
242,474,N. Üstün,Nevzat Üstün
243,475,İ. Tarus,İlhan Tarus
244,476,A. Özakın,Aysel Özakın
245,477,K. Korcan,Kerim Korcan
246,478,E. Atasü,Erendiz Atasü
247,479,İ. Aral,İnci Aral
248,480,O. Aysu,Osman Aysu
249,481,A. Nesin,Aziz Nesin
250,482,Ü. Dökmen,Üstün Dökmen
251,483,H. Topuz,Hıfzı Topuz
252,484,A. İ. Özkan,Ali İzzet Özkan
253,485,S. Erez,Selçuk Erez
254,487,Neyzen Tevfik,Neyzen Tevfik
255,488,Füruzan,Füruzan
256,489,F. Edgü,Ferit Edgü
258,491,N. Elver,Nurcan Elver
259,492,N. Duygulu,Necmi Duygulu
261,494,E. B. Şapolyo,Enver Behnan Şapolyo
262,495,A. Özcan,Abdülkadir Özcan
263,496,O. Türker,Orhan Türker
264,497,Y. Baştunç,Yüksel Baştunç
265,498,T. Yeşilyurt,Türkân Yeşilyurt
266,499,O. Özdeş,Oğuz Özdeş
267,500,Ö. Serengil,Öztürk Serengil
268,501,İ. H. Sevük,İsmail Habib Sevük
